batter,runs_batter,balls_faced,batting_avg
ML Hayden,1107,806,1.3734491315136477
MM Ali,1167,835,1.3976047904191617
MM Patel,39,41,0.9512195121951219
MM Sharma,125,136,0.9191176470588235
MN Samuels,161,172,0.936046511627907
MN van Wyk,167,132,1.2651515151515151
MP Breetzke,14,12,1.1666666666666667
MP Stoinis,2020,1395,1.4480286738351253
MR Marsh,1292,904,1.4292035398230087
MS Bhandage,1,4,0.25
MS Bisla,798,702,1.1367521367521367
MS Dhoni,5439,3957,1.3745261561789235
MS Gony,99,71,1.3943661971830985
MS Wade,172,157,1.0955414012738853
MV Boucher,394,309,1.2750809061488673
MW Short,117,92,1.2717391304347827
Mandeep Singh,1679,1368,1.2273391812865497
Mashrafe Mortaza,2,2,1.0
Mayank Dagar,0,1,0.0
Misbah-ul-Haq,117,81,1.4444444444444444
Mohammad Ashraful,2,10,0.2
Mohammad Asif,3,6,0.5
Mohammad Hafeez,64,83,0.7710843373493976
Mohammad Nabi,221,152,1.4539473684210527
Mohammed Shami,84,89,0.9438202247191011
Mohammed Siraj,112,123,0.9105691056910569
Mohit Rathee,1,2,0.5
Mohsin Khan,25,24,1.0416666666666667
Mujeeb Ur Rahman,12,15,0.8
Mukesh Choudhary,6,6,1.0
Mukesh Kumar,10,18,0.5555555555555556
Musheer Khan,0,3,0.0
Mustafizur Rahman,13,24,0.5416666666666666
N Jagadeesan,162,147,1.1020408163265305
N Pooran,2273,1328,1.7115963855421688
N Rana,2853,2086,1.3676893576222435
N Saini,140,141,0.9929078014184397
N Wadhera,719,503,1.4294234592445327
ND Doshi,0,13,0.0
NJ Maddinson,20,21,0.9523809523809523
NJ Rimmington,1,1,1.0
NK Patel,121,119,1.0168067226890756
NL McCullum,26,22,1.1818181818181819
NLTC Perera,424,309,1.372168284789644
NM Coulter-Nile,82,72,1.1388888888888888
NS Naik,31,50,0.62
NT Ellis,19,25,0.76
NV Ojha,1546,1294,1.1947449768160743
Naman Dhir,392,217,1.8064516129032258
Navdeep Saini,33,36,0.9166666666666666
Naveen-ul-Haq,18,25,0.72
Nithish Kumar Reddy,485,365,1.3287671232876712
Noor Ahmad,20,35,0.5714285714285714
OA Shah,506,389,1.300771208226221
OC McCoy,8,5,1.6
OF Smith,51,44,1.1590909090909092
P Awana,5,14,0.35714285714285715
P Chopra,8,6,1.3333333333333333
P Dogra,127,138,0.9202898550724637
P Dubey,23,33,0.696969696969697
P Kumar,340,314,1.0828025477707006
P Negi,361,286,1.2622377622377623
P Parameswaran,1,2,0.5
P Ray Barman,19,24,0.7916666666666666
P Sahu,19,13,1.4615384615384615
P Simran Singh,1222,810,1.508641975308642
PA Patel,2840,2353,1.2069698257543562
PA Reddy,164,160,1.025
PBB Rajapaksa,277,191,1.450261780104712
PC Valthaty,505,418,1.208133971291866
PD Collingwood,203,156,1.3012820512820513
PD Salt,1056,601,1.757071547420965
PHKD Mendis,92,69,1.3333333333333333
PJ Cummins,612,402,1.5223880597014925
PJ Sangwan,26,44,0.5909090909090909
PK Garg,273,241,1.1327800829875518
PM Sarvesh Kumar,1,2,0.5
PN Mankad,97,73,1.3287671232876712
PP Chawla,624,563,1.108348134991119
PP Ojha,16,45,0.35555555555555557
PP Shaw,1892,1283,1.474668745128605
PR Shah,92,91,1.010989010989011
PSP Handscomb,6,12,0.5
PV Tambe,18,39,0.46153846153846156
PVD Chameera,53,42,1.2619047619047619
PVSN Raju,1,1,1.0
PWA Mulder,9,11,0.8181818181818182
PWH de Silva,81,88,0.9204545454545454
Pankaj Singh,7,12,0.5833333333333334
Parvez Rasool,17,20,0.85
Prince Yadav,5,10,0.5
Priyansh Arya,406,230,1.7652173913043478
Q de Kock,3243,2433,1.3329223181257706
R Ashwin,833,705,1.1815602836879433
R Bhatia,342,284,1.204225352112676
R Bishnoi,19,17,1.1176470588235294
R Dhawan,210,187,1.1229946524064172
R Dravid,2174,1882,1.155154091392136
R McLaren,159,171,0.9298245614035088
R Minz,6,15,0.4
R Ninan,3,6,0.5
R Parag,1570,1106,1.4195298372513563
R Powell,365,249,1.465863453815261
R Rampaul,51,50,1.02
R Ravindra,413,287,1.4390243902439024
R Sai Kishore,18,16,1.125
R Sanjay Yadav,0,2,0.0
R Sathish,270,231,1.1688311688311688
R Sharma,66,75,0.88
R Shepherd,185,87,2.1264367816091956
R Shukla,19,23,0.8260869565217391
R Tewatia,1112,811,1.3711467324290998
R Vinay Kumar,310,274,1.1313868613138687
RA Bawa,19,18,1.0555555555555556
RA Jadeja,3260,2502,1.3029576338928857
RA Tripathi,2291,1662,1.378459687123947
RD Chahar,129,124,1.0403225806451613
RD Gaikwad,2502,1820,1.3747252747252747
RD Rickelton,388,257,1.509727626459144
RE Levi,83,73,1.1369863013698631
RE van der Merwe,159,141,1.127659574468085
RG More,2,2,1.0
RG Sharma,7048,5337,1.3205920929361064
RJ Gleeson,2,2,1.0
RJ Harris,117,112,1.0446428571428572
RJ Peterson,32,30,1.0666666666666667
RJ Quiney,103,102,1.0098039215686274
RJW Topley,3,6,0.5
RK Bhui,10,26,0.38461538461538464
RK Singh,1099,757,1.451783355350066
RM Patidar,1111,720,1.5430555555555556
RN ten Doeschate,326,235,1.3872340425531915
RP Meredith,0,3,0.0
RP Singh,52,76,0.6842105263157895
RR Bhatkal,0,2,0.0
RR Pant,3566,2417,1.4753827058336781
RR Powar,67,64,1.046875
RR Raje,20,18,1.1111111111111112
RR Rossouw,473,308,1.5357142857142858
RR Sarwan,73,75,0.9733333333333334
RS Bopara,531,453,1.1721854304635762
RS Gavaskar,2,8,0.25
RS Sodhi,4,2,2.0
RT Ponting,91,128,0.7109375
RV Gomez,50,51,0.9803921568627451
RV Patel,80,73,1.095890410958904
RV Uthappa,4954,3801,1.3033412259931596
Rahmanullah Gurbaz,362,266,1.3609022556390977
Ramandeep Singh,217,137,1.583941605839416
Rashid Khan,585,365,1.6027397260273972
Rasikh Salam,40,40,1.0
Ravi Bishnoi,45,66,0.6818181818181818
S Anirudha,136,113,1.2035398230088497
S Aravind,59,57,1.0350877192982457
S Badree,13,23,0.5652173913043478
S Badrinath,1441,1212,1.188943894389439
S Chanderpaul,25,31,0.8064516129032258
S Dhawan,6769,5326,1.2709350356740519
S Dube,1859,1294,1.436630602782071
S Gopal,180,169,1.0650887573964498
S Kaul,20,36,0.5555555555555556
S Kaushik,0,1,0.0
S Ladda,0,9,0.0
S Lamichhane,0,1,0.0
S Nadeem,39,87,0.4482758620689655
S Narwal,37,27,1.3703703703703705
S Rana,91,81,1.123456790123457
S Randiv,2,4,0.5
S Sohal,368,292,1.2602739726027397
S Sreesanth,34,55,0.6181818181818182
S Sriram,31,36,0.8611111111111112
S Tyagi,3,4,0.75
S Vidyut,145,109,1.3302752293577982
SA Abbott,22,18,1.2222222222222223
SA Asnodkar,423,339,1.247787610619469
SA Yadav,4311,2901,1.4860392967942089
SB Bangar,49,58,0.8448275862068966
SB Dubey,139,85,1.6352941176470588
SB Jakati,28,29,0.9655172413793104
SB Joshi,6,14,0.42857142857142855
SB Styris,131,133,0.9849624060150376
SB Wagh,2,3,0.6666666666666666
SC Ganguly,1349,1263,1.0680918448139352
SD Chitnis,99,89,1.1123595505617978
SD Hope,183,122,1.5
SD Lad,15,13,1.1538461538461537
SE Bond,1,2,0.5
SE Marsh,2489,1871,1.330304649919829
SE Rutherford,397,289,1.3737024221453287
SH Johnson,8,11,0.7272727272727273
SJ Srivastava,5,5,1.0
SK Raina,5536,4046,1.3682649530400395
SK Rasheed,71,63,1.126984126984127
SK Trivedi,42,59,0.711864406779661
SK Warne,198,214,0.9252336448598131
SL Malinga,88,99,0.8888888888888888
SM Curran,997,731,1.3638850889192886
SM Harwood,9,14,0.6428571428571429
SM Katich,241,186,1.2956989247311828
SM Pollock,147,111,1.3243243243243243
SMSM Senanayake,10,17,0.5882352941176471
SN Khan,540,427,1.2646370023419204
SN Thakur,325,233,1.3948497854077253
SO Hetmyer,1488,980,1.5183673469387755
SP Fleming,196,165,1.187878787878788
SP Goswami,293,295,0.9932203389830508
SP Jackson,61,57,1.0701754385964912
SP Narine,1776,1066,1.6660412757973733
SPD Smith,2495,1945,1.2827763496143958
SR Tendulkar,2334,1948,1.1981519507186857
SR Watson,3880,2813,1.3793103448275863
SS Cottrell,0,2,0.0
SS Iyer,3690,2766,1.334056399132321
SS Prabhudessai,126,106,1.1886792452830188
SS Shaikh,6,7,0.8571428571428571
SS Tiwary,1481,1235,1.1991902834008097
ST Jayasuriya,768,532,1.443609022556391
STR Binny,880,683,1.2884333821376281
SV Samson,4676,3370,1.3875370919881305
SW Billings,503,388,1.2963917525773196
SW Tait,23,26,0.8846153846153846
SZ Mulani,1,1,1.0
Sachin Baby,144,118,1.2203389830508475
Salman Butt,193,161,1.1987577639751552
Sameer Rizvi,172,122,1.4098360655737705
Sandeep Sharma,60,75,0.8
Sanvir Singh,25,21,1.1904761904761905
Saurav Chauhan,18,15,1.2
Sediqullah Atal,22,16,1.375
Shahbaz Ahmed,545,448,1.2165178571428572
Shahid Afridi,81,46,1.7608695652173914
Shakib Al Hasan,795,639,1.244131455399061
Shashank Singh,773,490,1.5775510204081633
Shivam Mavi,51,56,0.9107142857142857
Shivam Sharma,5,3,1.6666666666666667
Shivam Singh,2,3,0.6666666666666666
Shoaib Ahmed,1,6,0.16666666666666666
Shoaib Akhtar,2,7,0.2857142857142857
Shoaib Malik,52,47,1.1063829787234043
Shubman Gill,3866,2787,1.3871546465733764
Sikandar Raza,182,136,1.338235294117647
Simarjeet Singh,10,15,0.6666666666666666
Sohail Tanvir,36,29,1.2413793103448276
Sumit Kumar,18,24,0.75
Sunny Gupta,0,1,0.0
Sunny Singh,43,31,1.3870967741935485
Suryansh Shedge,7,11,0.6363636363636364
Swapnil Singh,51,45,1.1333333333333333
T Banton,18,20,0.9
T Henderson,11,16,0.6875
T Kohler-Cadmore,48,54,0.8888888888888888
T Kohli,11,19,0.5789473684210527
T Natarajan,3,5,0.6
T Shamsi,2,4,0.5
T Stubbs,670,397,1.6876574307304786
T Taibu,31,26,1.1923076923076923
T Thushara,12,18,0.6666666666666666
TA Boult,85,81,1.0493827160493827
TD Paine,10,26,0.38461538461538464
TG Southee,120,107,1.1214953271028036
TH David,846,488,1.7336065573770492
TK Curran,127,107,1.1869158878504673
TL Seifert,26,23,1.1304347826086956
TL Suman,676,575,1.1756521739130434
TM Dilshan,1153,1007,1.1449851042701091
TM Head,1146,674,1.7002967359050445
TM Srivastava,8,11,0.7272727272727273
TR Birt,75,58,1.293103448275862
TS Mills,8,14,0.5714285714285714
TU Deshpande,28,22,1.2727272727272727
Tanush Kotian,24,31,0.7741935483870968
Tilak Varma,1499,1038,1.4441233140655105
U Kaul,0,1,0.0
UA Birla,7,14,0.5
UBT Chand,300,300,1.0
UT Khawaja,127,100,1.27
UT Yadav,208,201,1.0348258706467661
Umar Gul,39,19,2.0526315789473686
Umran Malik,23,16,1.4375
Urvil Patel,68,32,2.125
V Kohli,8644,6510,1.3278033794162827
V Nigam,124,62,2.0
V Pratap Singh,0,1,0.0
V Sehwag,2728,1755,1.5544159544159544
V Shankar,1233,950,1.2978947368421052
V Suryavanshi,252,122,2.0655737704918034
V Viyaskanth,7,5,1.4
VG Arora,9,24,0.375
VH Zol,29,26,1.1153846153846154
VR Aaron,50,72,0.6944444444444444
VR Iyer,1468,1069,1.373246024321796
VRV Singh,4,3,1.3333333333333333
VS Malik,7,7,1.0
VS Yeligati,2,2,1.0
VVS Laxman,282,267,1.0561797752808988
VY Mahesh,15,27,0.5555555555555556
Vijaykumar Vyshak,14,12,1.1666666666666667
Virat Singh,15,26,0.5769230769230769
Vishnu Vinod,56,57,0.9824561403508771
Vivrant Sharma,69,47,1.4680851063829787
W Jaffer,130,121,1.0743801652892562
WA Mota,56,75,0.7466666666666667
WD Parnell,65,80,0.8125
WG Jacks,463,303,1.528052805280528
WP Saha,2934,2300,1.2756521739130435
WPUJC Vaas,81,73,1.1095890410958904
Washington Sundar,511,405,1.2617283950617284
X Thalaivan Sargunam,10,17,0.5882352941176471
XC Bartlett,11,15,0.7333333333333333
Y Gnaneswara Rao,19,17,1.1176470588235294
Y Nagar,285,259,1.1003861003861004
Y Prithvi Raj,0,1,0.0
Y Venugopal Rao,985,835,1.1796407185628743
YA Abdulla,0,1,0.0
YBK Jaiswal,2166,1417,1.5285815102328864
YK Pathan,3222,2245,1.4351893095768373
YS Chahal,37,86,0.43023255813953487
YV Dhull,16,23,0.6956521739130435
YV Takawale,192,178,1.0786516853932584
Yash Dayal,4,9,0.4444444444444444
Yashpal Singh,47,66,0.7121212121212122
Younis Khan,3,7,0.42857142857142855
Yudhvir Singh,22,16,1.375
Yuvraj Singh,2743,2115,1.2969267139479905
Z Khan,117,141,0.8297872340425532
